Gebieden,onderwerpen,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Hoboken,Aantal leerlingen basisonderwijs,4145,4096,4133,4146,4084,4160,4228,4430,4596,4832
Hoboken,Aandeel inwoners dat basisonderwijs volgt,12.217408,11.9920365,11.9741569,11.9619158,11.7535327,11.9327635,12.0216093,12.4613221,12.6807196,12.9603304
Hoboken,Aantal leerlingen basisonderwijs - jongens,2104,2100,2096,2112,2086,2171,2187,2288,2386,2502
Hoboken,Aantal leerlingen basisonderwijs - meisjes,2041,1996,2037,2034,1998,1989,2041,2142,2210,2330
Hoboken,Aantal leerlingen basisonderwijs - school buiten Antwerpen,218,224,241,248,224,241,231,270,292,298
Hoboken,Aantal leerlingen basisonderwijs - school binnen Antwerpen,3927,3872,3892,3898,3860,3919,3997,4160,4304,4534
Hoboken,Leerlingen basisonderwijs - percentage jongens,50.7599517,51.2695313,50.7137672,50.9406657,51.0773751,52.1875,51.7265847,51.6478555,51.9147084,51.7798013
Hoboken,Leerlingen basisonderwijs - percentage meisjes,49.2400483,48.7304688,49.2862328,49.0593343,48.9226249,47.8125,48.2734153,48.3521445,48.0852916,48.2201987
Hoboken,Leerlingen basisonderwijs - percentage school buiten Antwerpen,5.2593486,5.46875,5.8311154,5.9816691,5.4848188,5.7932692,5.4635762,6.0948081,6.3533507,6.1672185
Hoboken,Leerlingen basisonderwijs - percentage school binnen Antwerpen,94.7406514,94.53125,94.1688846,94.0183309,94.5151812,94.2067308,94.5364238,93.9051919,93.6466493,93.8327815
Hoboken,Aantal leerlingen gewoon kleuteronderwijs,1429,1403,1430,1439,1463,1529,1573,1651,1786,1888
Hoboken,Aantal leerlingen buitengewoon kleuteronderwijs,13,15,16,15,20,28,19,15,17,15
Hoboken,Aantal leerlingen kleuteronderwijs totaal,1442,1418,1446,1454,1483,1557,1592,1666,1803,1903
Hoboken,Leerlingen basisonderwijs - percentage gewoon kleuteronderwijs,34.4752714,34.2529297,34.5995645,34.7081524,35.8227228,36.7548077,37.2043519,37.268623,38.8598782,39.0728477
Hoboken,Leerlingen basisonderwijs - percentage buitengewoon kleuteronderwijs,0.3136309,0.3662109,0.387128,0.3617945,0.489716,0.6730769,0.4493851,0.3386005,0.3698869,0.3104305
Hoboken,Leerlingen basisonderwijs - percentage kleuteronderwijs totaal,34.7889023,34.6191406,34.9866925,35.0699469,36.3124388,37.4278846,37.653737,37.6072235,39.229765,39.3832781
Hoboken,Aantal leerlingen gewoon lager onderwijs,2431,2411,2418,2434,2335,2313,2364,2475,2524,2661
Hoboken,Aantal leerlingen buitengewoon lager onderwijs,272,267,269,258,266,290,272,289,269,268
Hoboken,Aantal leerlingen lager onderwijs totaal,2703,2678,2687,2692,2601,2603,2636,2764,2793,2929
